 count,0,10,15,30,55,75,80,90
257,0.04,10.06,15.02,29.98,55.03,74.98,79.95,89.9,
258,0.06,10.05,15.03,29.98,55.03,74.98,79.94,89.91,
259,0.07,10.07,15.03,29.98,55.04,74.97,79.95,89.91,
260,0.06,10.05,15.05,29.98,55.03,74.98,79.95,89.88,
261,0.04,10.03,15.02,29.98,55.02,74.97,79.95,89.91,
262,0.06,10.06,15.02,29.98,55.03,74.98,79.97,89.9,
263,0.05,10.06,15.03,29.99,55.03,74.95,79.95,89.89,
264,0.06,10.06,15.02,29.98,55.04,74.97,79.95,89.88,
265,0.06,10.05,15.03,29.98,55.03,74.98,79.95,89.91,
266,0.06,10.05,15.02,29.98,55.02,74.97,79.96,89.92,
267,0.06,10.05,15.02,29.98,55.02,74.97,79.98,89.91,
268,0.05,10.07,15.02,30.0,55.03,74.98,79.97,89.92,
269,0.05,10.05,15.03,29.98,55.03,74.98,79.95,89.9,
270,0.06,10.06,15.03,30.0,55.03,74.98,79.97,89.9,
271,0.04,10.06,15.02,29.97,55.06,74.98,79.97,89.92,
272,0.05,10.07,15.02,29.99,55.04,74.98,79.95,89.9,
273,0.05,10.05,15.02,29.97,55.02,74.98,79.95,89.91,
274,0.06,10.03,15.02,30.0,55.03,74.99,79.97,89.89,
275,0.05,10.06,15.02,29.99,55.03,74.98,79.95,89.91,
276,0.05,10.07,15.02,29.98,55.03,74.96,79.95,89.89,
277,0.05,10.06,15.02,30.0,55.03,74.98,79.95,89.91,
278,0.05,10.06,15.02,29.96,55.04,74.97,79.95,89.9,
279,0.07,10.07,15.03,29.98,55.04,74.98,79.95,89.91,
280,0.07,10.06,15.02,29.98,55.02,74.95,79.95,89.91,
281,0.06,10.05,15.02,30.0,55.02,74.97,79.95,89.91,
282,0.07,10.05,15.02,29.97,55.04,74.98,79.95,89.92,
283,0.07,10.06,15.02,29.97,55.03,74.98,79.95,89.91,
284,0.05,10.06,15.02,30.0,55.06,74.95,79.95,89.92,
285,0.06,10.06,15.03,30.0,55.06,74.97,79.97,89.92,
286,0.06,10.06,15.03,30.0,55.07,74.98,79.95,89.9,
287,0.07,10.07,15.02,30.01,55.06,74.98,79.95,89.92,
